timestamp,bpm,source
"2025-07-17T04:09:47+00:00",103,"workout"
"2025-07-17T04:09:52+00:00",102,"workout"
"2025-07-17T04:09:57+00:00",102,"workout"
"2025-07-17T04:10:02+00:00",101,"workout"
"2025-07-17T04:10:07+00:00",100,"workout"
"2025-07-17T04:10:12+00:00",100,"workout"
"2025-07-17T04:10:17+00:00",99,"workout"
"2025-07-17T04:10:22+00:00",99,"workout"
"2025-07-17T04:10:27+00:00",99,"workout"
"2025-07-17T04:10:32+00:00",99,"workout"
"2025-07-17T04:10:37+00:00",98,"workout"
"2025-07-17T04:10:42+00:00",98,"workout"
"2025-07-17T04:10:47+00:00",97,"workout"
"2025-07-17T04:10:52+00:00",97,"workout"
"2025-07-17T04:10:57+00:00",96,"workout"
"2025-07-17T04:11:02+00:00",96,"workout"
"2025-07-17T04:11:07+00:00",95,"workout"
"2025-07-17T04:11:12+00:00",95,"workout"
"2025-07-17T04:11:17+00:00",95,"workout"
"2025-07-17T04:11:22+00:00",95,"workout"
"2025-07-17T04:11:27+00:00",94,"workout"
"2025-07-17T04:11:32+00:00",93,"workout"
"2025-07-17T04:11:37+00:00",91,"workout"
"2025-07-17T04:11:42+00:00",91,"workout"
"2025-07-17T04:11:47+00:00",90,"workout"
"2025-07-17T04:11:52+00:00",89,"workout"
"2025-07-17T04:11:57+00:00",88,"workout"
"2025-07-17T04:12:02+00:00",87,"workout"
"2025-07-17T04:12:03+00:00",92,"awake"
"2025-07-17T04:12:07+00:00",86,"workout"
"2025-07-17T04:12:12+00:00",88,"awake"
"2025-07-17T04:12:12+00:00",86,"workout"
"2025-07-17T04:12:17+00:00",87,"workout"
"2025-07-17T04:12:22+00:00",87,"workout"
"2025-07-17T04:12:27+00:00",87,"workout"
"2025-07-17T04:12:32+00:00",90,"awake"
"2025-07-17T04:12:32+00:00",88,"workout"
"2025-07-17T04:12:37+00:00",88,"workout"
"2025-07-17T04:12:42+00:00",89,"workout"
"2025-07-17T04:12:47+00:00",89,"workout"
"2025-07-17T04:12:52+00:00",90,"workout"
"2025-07-17T04:12:57+00:00",91,"workout"
"2025-07-17T04:13:02+00:00",92,"workout"
"2025-07-17T04:13:07+00:00",94,"workout"
"2025-07-17T04:13:12+00:00",94,"workout"
"2025-07-17T04:13:17+00:00",94,"workout"
"2025-07-17T04:13:22+00:00",93,"workout"
"2025-07-17T04:17:44+00:00",94,"awake"
"2025-07-17T04:17:53+00:00",90,"awake"
"2025-07-17T04:17:58+00:00",86,"awake"
"2025-07-17T04:22:09+00:00",85,"awake"
"2025-07-17T04:22:27+00:00",83,"awake"
"2025-07-17T04:23:53+00:00",86,"awake"
"2025-07-17T04:27:30+00:00",86,"awake"
"2025-07-17T04:28:29+00:00",82,"awake"
"2025-07-17T04:28:48+00:00",84,"awake"
"2025-07-17T04:34:30+00:00",94,"workout"
"2025-07-17T04:34:40+00:00",96,"workout"
"2025-07-17T04:34:50+00:00",97,"workout"
"2025-07-17T04:35:00+00:00",97,"workout"
"2025-07-17T04:35:10+00:00",96,"workout"
"2025-07-17T04:35:20+00:00",97,"workout"
"2025-07-17T04:35:27+00:00",95,"workout"
"2025-07-17T04:35:32+00:00",95,"workout"
"2025-07-17T04:35:37+00:00",96,"workout"
"2025-07-17T04:35:42+00:00",97,"workout"
"2025-07-17T04:35:47+00:00",97,"workout"
"2025-07-17T04:35:52+00:00",97,"workout"
"2025-07-17T04:35:57+00:00",97,"workout"
"2025-07-17T04:36:02+00:00",98,"workout"
"2025-07-17T04:36:07+00:00",99,"workout"
"2025-07-17T04:36:12+00:00",100,"workout"
"2025-07-17T04:36:17+00:00",101,"workout"
"2025-07-17T04:36:22+00:00",102,"workout"
"2025-07-17T04:36:27+00:00",102,"workout"
"2025-07-17T04:36:32+00:00",102,"workout"
"2025-07-17T04:36:37+00:00",102,"workout"
"2025-07-17T04:36:42+00:00",102,"workout"
"2025-07-17T04:36:47+00:00",102,"workout"
"2025-07-17T04:36:52+00:00",102,"workout"
"2025-07-17T04:36:57+00:00",102,"workout"
"2025-07-17T04:37:02+00:00",102,"workout"
"2025-07-17T04:37:07+00:00",102,"workout"
"2025-07-17T04:37:12+00:00",101,"workout"
"2025-07-17T04:37:17+00:00",100,"workout"
"2025-07-17T04:37:22+00:00",99,"workout"
"2025-07-17T04:37:27+00:00",98,"workout"
"2025-07-17T04:37:32+00:00",98,"workout"
"2025-07-17T04:37:37+00:00",97,"workout"
"2025-07-17T04:37:42+00:00",97,"workout"
"2025-07-17T04:37:47+00:00",97,"workout"
"2025-07-17T04:37:52+00:00",96,"workout"
"2025-07-17T04:37:57+00:00",96,"workout"
"2025-07-17T04:38:02+00:00",95,"workout"
"2025-07-17T04:38:07+00:00",94,"workout"
"2025-07-17T04:38:12+00:00",94,"workout"
"2025-07-17T04:38:17+00:00",94,"workout"
"2025-07-17T04:38:22+00:00",92,"workout"
"2025-07-17T04:38:27+00:00",92,"workout"
"2025-07-17T04:38:32+00:00",91,"workout"
"2025-07-17T04:38:37+00:00",91,"workout"
"2025-07-17T04:38:42+00:00",92,"workout"
"2025-07-17T04:38:47+00:00",92,"workout"
"2025-07-17T04:38:52+00:00",92,"workout"
"2025-07-17T04:38:57+00:00",93,"workout"
"2025-07-17T04:39:02+00:00",93,"workout"
"2025-07-17T04:39:07+00:00",93,"workout"
"2025-07-17T04:39:12+00:00",93,"workout"
"2025-07-17T04:39:17+00:00",93,"workout"
"2025-07-17T04:39:22+00:00",94,"workout"
"2025-07-17T04:39:27+00:00",96,"workout"
"2025-07-17T04:39:32+00:00",97,"workout"
"2025-07-17T04:39:37+00:00",97,"workout"
"2025-07-17T04:39:42+00:00",97,"workout"
"2025-07-17T04:39:47+00:00",97,"workout"
"2025-07-17T04:39:52+00:00",98,"workout"
"2025-07-17T04:39:57+00:00",98,"workout"
"2025-07-17T04:40:02+00:00",99,"workout"
"2025-07-17T04:40:07+00:00",99,"workout"
"2025-07-17T04:40:12+00:00",99,"workout"
"2025-07-17T04:40:17+00:00",99,"workout"
"2025-07-17T04:40:22+00:00",99,"workout"
"2025-07-17T04:40:27+00:00",98,"workout"
"2025-07-17T04:40:32+00:00",98,"workout"
"2025-07-17T04:40:37+00:00",98,"workout"
"2025-07-17T04:40:42+00:00",98,"workout"
"2025-07-17T04:40:47+00:00",98,"workout"
"2025-07-17T04:40:52+00:00",98,"workout"
"2025-07-17T04:40:57+00:00",99,"workout"
"2025-07-17T04:41:02+00:00",100,"workout"
"2025-07-17T04:41:07+00:00",100,"workout"
"2025-07-17T04:41:12+00:00",101,"workout"
"2025-07-17T04:41:17+00:00",101,"workout"
"2025-07-17T04:41:22+00:00",100,"workout"
"2025-07-17T04:41:27+00:00",100,"workout"
"2025-07-17T04:41:32+00:00",100,"workout"
"2025-07-17T04:41:37+00:00",101,"workout"
"2025-07-17T04:41:42+00:00",102,"workout"
"2025-07-17T04:41:47+00:00",103,"workout"
"2025-07-17T04:41:52+00:00",104,"workout"
"2025-07-17T04:41:57+00:00",104,"workout"
"2025-07-17T04:42:02+00:00",105,"workout"
"2025-07-17T04:42:07+00:00",106,"workout"
"2025-07-17T04:42:12+00:00",107,"workout"
"2025-07-17T04:42:17+00:00",107,"workout"
"2025-07-17T04:42:22+00:00",107,"workout"
"2025-07-17T04:42:27+00:00",107,"workout"
"2025-07-17T04:42:32+00:00",107,"workout"
"2025-07-17T04:42:37+00:00",107,"workout"
"2025-07-17T04:42:42+00:00",108,"workout"
"2025-07-17T04:42:47+00:00",108,"workout"
"2025-07-17T04:42:52+00:00",108,"workout"
"2025-07-17T04:42:57+00:00",108,"workout"
"2025-07-17T04:43:02+00:00",108,"workout"
"2025-07-17T04:43:07+00:00",108,"workout"
"2025-07-17T04:43:12+00:00",110,"workout"
"2025-07-17T04:43:17+00:00",111,"workout"
"2025-07-17T04:43:22+00:00",111,"workout"
"2025-07-17T04:43:27+00:00",111,"workout"
"2025-07-17T04:43:32+00:00",111,"workout"
"2025-07-17T04:43:37+00:00",111,"workout"
"2025-07-17T04:43:42+00:00",110,"workout"
"2025-07-17T04:43:47+00:00",110,"workout"
"2025-07-17T04:43:52+00:00",110,"workout"
"2025-07-17T04:43:57+00:00",110,"workout"
"2025-07-17T04:44:02+00:00",109,"workout"
"2025-07-17T04:44:07+00:00",109,"workout"
"2025-07-17T04:44:12+00:00",109,"workout"
"2025-07-17T04:44:17+00:00",109,"workout"
"2025-07-17T04:44:22+00:00",108,"workout"
"2025-07-17T04:44:27+00:00",106,"workout"
"2025-07-17T04:44:32+00:00",104,"workout"
"2025-07-17T04:44:37+00:00",103,"workout"
"2025-07-17T04:44:42+00:00",102,"workout"
"2025-07-17T04:44:47+00:00",102,"workout"
"2025-07-17T04:44:52+00:00",103,"workout"
"2025-07-17T04:44:57+00:00",103,"workout"
"2025-07-17T04:45:02+00:00",103,"workout"
"2025-07-17T04:45:07+00:00",102,"workout"
"2025-07-17T04:45:12+00:00",102,"workout"
"2025-07-17T04:45:17+00:00",102,"workout"
